Name,Original,Modified
178829,0.046803758,0.05305442
102871,0.02142127,0.05780173
166261,0.04355338,0.081028834
20192,0.0121875005,0.051570445
65339,0.029795833,0.05148043
169282,0.06585242,0.23205318
73082,0.016018946,0.069389775
66736,0.022134129,0.05217657
134888,0.13234928,0.20972519
168057,0.015168871,0.11003018
111175,0.020292722,0.052293696
167033,0.0150946295,0.05360657
155097,0.16090928,0.088432
11694,0.011462176,0.052627448
175142,0.03718045,0.058022577
58266,0.018039187,0.052742098
15689,0.43079883,0.31920984
66591,0.01577842,0.052845336
26909,0.022353055,0.053335916
124181,0.010392075,0.053364098
104655,0.012869526,0.05418303
187125,0.013134436,0.06488104
127801,0.060498223,0.053389892
86727,0.06746195,0.06608045
103026,0.068646036,0.056242842
62057,0.036236808,0.09027528
14853,0.16895276,0.6549833
43817,0.07551908,0.31359354
57029,0.33510697,0.7159319
184635,0.015387932,0.05141415
179390,0.028483093,0.049886554
121110,0.011313071,0.052111987
126826,0.010838383,0.051711377
91760,0.0099564595,0.053597815
139327,0.01860414,0.06495856
63749,0.21069522,0.24260177
39965,0.010723273,0.053566862
160527,0.033978883,0.05471126
147602,0.026553348,0.08245966
104875,0.046522085,0.052443042
155214,0.036526944,0.36172435
192863,0.01424729,0.05276881
69241,0.04883401,0.13186058
73107,0.011543951,0.054058306
69088,0.09424553,0.050509766
43357,0.021922572,0.08669808
172439,0.18230785,0.5359869
102079,0.023813177,0.0771054
138240,0.07877855,0.068839036
77910,0.036698937,0.05378054
127998,0.062086124,0.06782197
99449,0.07063049,0.057598166
77662,0.04891893,0.069982685
143294,0.13281803,0.052327923
90421,0.10027711,0.41487736
48926,0.031996593,0.058770556
155228,0.01947985,0.07977793
7126,0.031044848,0.06253723
55168,0.04630683,0.10538236
49613,0.014093444,0.05328943
43819,0.03740316,0.07886564
26269,0.00984359,0.05485082
126164,0.016313164,0.053473797
146200,0.6251292,0.10653876
87942,0.053446427,0.056719854
44327,0.009843293,0.05287296
130016,0.014992986,0.053042293
167896,0.042850345,0.05187707
60585,0.03392119,0.08255247
155113,0.08482531,0.10306993
46850,0.17664933,0.14449953
78390,0.5732392,0.44704825
145480,0.05105064,0.06545345
94764,0.021731691,0.067213096
160910,0.017430166,0.060958687
185902,0.021229912,0.069064766
110692,0.012417778,0.04953517
52114,0.025695609,0.090944484
102073,0.18970829,0.2679529
36056,0.067358054,0.07810968
162667,0.027548505,0.057013817
171187,0.0303748,0.062750034
104206,0.07229008,0.05315588
65520,0.17052628,0.13670751
131488,0.02060176,0.06773481
65338,0.027176708,0.059245758
166203,0.014562275,0.051877975
65676,0.112417884,0.09532627
20000,0.037716184,0.17286214
188686,0.07017642,0.06975963
79274,0.01041247,0.053872015
11699,0.06963062,0.054279767
71696,0.086111374,0.08407145
73369,0.02770102,0.053474642
17632,0.009005599,0.054843873
157642,0.014551392,0.061895944
44225,0.39493087,0.62742275
56960,0.07348344,0.09599447
90088,0.01877846,0.053382255
146075,0.013681664,0.062457614
98211,0.045718353,0.0660346
194713,0.014849899,0.06262856
50050,0.025219072,0.053752042
187009,0.034136206,0.061671074
164828,0.054971673,0.10263476
42542,0.13635865,0.057331935
64468,0.09641461,0.098130584
169099,0.060052723,0.13982065
162489,0.014750274,0.057856627
145552,0.113592744,0.071813926
50935,0.00988336,0.050760884
67191,0.015021654,0.055515476
50051,0.05607215,0.44163013
64397,0.031802427,0.07017912
157645,0.043527447,0.12820524
169926,0.03513489,0.05296745
77461,0.013682932,0.05496163
77784,0.020632442,0.062164795
53582,0.054637868,0.07249162
58557,0.09334682,0.107636705
53580,0.027592715,0.08538056
184491,0.016750073,0.05680105
148227,0.26146963,0.23127732
55097,0.022113547,0.089641124
166427,0.042936366,0.07505204
7151,0.047782324,0.060785484
191298,0.086899124,0.051840443
345,0.027191246,0.06906782
77783,0.022236936,0.05331348
145576,0.09524476,0.5352287
127719,0.14592592,0.2126825
95695,0.085572235,0.3196366
171475,0.013902797,0.07002202
190696,0.012109834,0.054173205
16629,0.011669157,0.062285256
159156,0.19448273,0.06056295
34329,0.30133513,0.112157814
172446,0.009730824,0.05271549
146276,0.3376639,0.07046735
169104,0.013956294,0.052566577
87786,0.121969596,0.6996736
102093,0.042092483,0.09595637
20016,0.050810993,0.08115695
143293,0.41684398,0.22667585
169037,0.012596727,0.050341062
148814,0.014836862,0.05563265
17854,0.037804537,0.10039973
156040,0.042061742,0.051825766
87526,0.09411995,0.8841591
113337,0.017517902,0.05062634
127637,0.03497096,0.0803683
80754,0.019330192,0.051486287
73108,0.016066672,0.05848533
195459,0.040455405,0.07831873
39983,0.013037384,0.052401725
39649,0.010327427,0.052615687
56294,0.21380316,0.14507072
90338,0.010628181,0.053391844
195317,0.8844091,0.6665034
140789,0.022930171,0.05200548
9190,0.010148248,0.053170092
54812,0.06420113,0.1461776
45482,0.019150682,0.06522372
63584,0.2208183,0.08510671
101318,0.08455105,0.054992586
53786,0.18316372,0.05854983
173131,0.028061518,0.10026802
73104,0.029402575,0.061584868
108657,0.08851545,0.10619715
68637,0.022222873,0.05522794
61684,0.025893742,0.052460786
109083,0.027100267,0.0544701
18894,0.025824098,0.071521536
56404,0.032410253,0.085930355
76726,0.017153902,0.054053586
71863,0.034327284,0.14135218
69963,0.018661702,0.07176124
188820,0.013829237,0.09132957
76236,0.033300072,0.09909965
98633,0.020651681,0.06258787
127210,0.019793762,0.054248165
140802,0.038675845,0.10753411
176592,0.012488012,0.05191617
137150,0.15522172,0.088063605
31156,0.043843474,0.12047135
169302,0.03789566,0.07351369
14314,0.042074386,0.107753076
44250,0.027617501,0.07240546
124697,0.022341304,0.05097023
156946,0.027240481,0.05710312
115872,0.97011495,0.95193607
