29860719, 30343370, 14930624, 15171962, 7465591, 7476026, 57691, 421049, 43963, 3783, 622362, 120276, 939
29860662, 30343367, 14930594, 15171960, 7465561, 7476002, 57743, 420766, 43998, 3776, 622002, 120195, 938
29860664, 30343368, 14930621, 15171990, 7465559, 7476001, 57718, 420756, 43957, 3781, 622024, 120358, 936
29860662, 30343370, 14930593, 15171960, 7465560, 7476002, 57742, 420714, 43978, 3766, 621979, 120343, 936
29860664, 30343368, 14930621, 15171960, 7465562, 7476032, 57702, 420769, 43951, 3787, 621952, 120404, 936
29860664, 30343364, 14930594, 15171934, 7465561, 7476000, 57771, 420792, 43953, 3762, 621976, 120216, 936
29860664, 30343368, 14930621, 15171961, 7465560, 7476032, 57779, 420756, 43952, 3760, 621971, 120196, 935
29860636, 30343396, 14930594, 15171962, 7465561, 7476004, 57724, 420822, 43940, 3776, 621987, 120170, 934
29860664, 30343364, 14930624, 15171960, 7465564, 7476030, 57762, 420773, 43914, 3761, 621956, 120276, 933
29860660, 30343366, 14930593, 15171960, 7465566, 7476003, 57735, 420732, 43914, 3790, 621966, 120267, 934
29860664, 30343368, 14930593, 15171960, 7465560, 7476032, 57729, 420892, 43919, 3782, 621970, 120184, 933
29860664, 30343368, 14930593, 15171935, 7465560, 7476003, 57694, 420756, 43933, 3762, 621981, 120192, 933
29860662, 30343365, 14930625, 15171961, 7465562, 7476032, 57718, 420798, 43985, 3760, 621976, 120189, 933
29860664, 30343368, 14930596, 15171960, 7465560, 7476004, 57686, 420760, 43984, 3761, 621978, 120209, 934
29860662, 30343395, 14930594, 15171962, 7465562, 7476032, 57698, 420760, 43952, 3760, 621956, 120236, 938
29860664, 30343368, 14930593, 15171935, 7465560, 7476002, 57759, 420788, 43956, 3759, 621983, 120240, 934
29860664, 30343364, 14930626, 15171964, 7465562, 7476032, 57671, 420702, 43971, 3760, 622006, 120230, 937
29860638, 30343395, 14930595, 15171933, 7465562, 7476006, 57743, 420726, 43917, 3760, 621974, 120270, 933
29860664, 30343364, 14930624, 15171960, 7465562, 7476032, 57659, 420746, 43985, 3760, 621952, 120380, 933
29860639, 30343368, 14930595, 15171962, 7465561, 7476002, 57751, 420756, 43998, 3777, 621958, 120364, 934
29860664, 30343392, 14930594, 15171962, 7465562, 7476032, 57696, 420760, 43930, 3759, 621972, 120173, 933
29860664, 30343368, 14930595, 15171936, 7465562, 7476005, 57756, 420766, 43994, 3780, 622016, 120410, 937
29860664, 30343368, 14930595, 15171962, 7465562, 7476032, 57727, 420874, 43914, 3760, 621974, 120219, 936
29860662, 30343367, 14930594, 15171934, 7465562, 7476005, 57751, 420831, 43942, 3765, 621954, 120222, 933
29860664, 30343368, 14930621, 15171961, 7465560, 7476032, 57653, 420774, 43984, 3760, 621956, 120188, 935
29860664, 30343364, 14930596, 15171962, 7465564, 7476004, 57681, 420676, 44003, 3759, 621993, 120243, 935
29860664, 30343368, 14930595, 15171962, 7465562, 7476032, 57739, 420791, 43915, 3787, 621972, 120240, 933
