18827102, 19309771, 9413814, 9655176, 4707162, 4717696, 57751, 420981, 43941, 3762, 622386, 120384, 935
18827073, 19309781, 9413816, 9655176, 4707188, 4717616, 57731, 420802, 43983, 3762, 621987, 120192, 935
18827056, 19309782, 9413834, 9655166, 4707154, 4717620, 57654, 420822, 43960, 3760, 621961, 120184, 934
18827076, 19309764, 9413828, 9655144, 4707155, 4717616, 57696, 420797, 43970, 3761, 621962, 120237, 933
18827069, 19309772, 9413814, 9655169, 4707174, 4717630, 57681, 420800, 43935, 3761, 622086, 120294, 942
18827094, 19309767, 9413837, 9655158, 4707167, 4717650, 57734, 420732, 43989, 3761, 621968, 120168, 935
18827073, 19309764, 9413839, 9655163, 4707170, 4717619, 57693, 420742, 43989, 3762, 621954, 120181, 932
18827060, 19309784, 9413835, 9655181, 4707153, 4717631, 57708, 420774, 43988, 3762, 621971, 120357, 935
18827061, 19309790, 9413843, 9655181, 4707170, 4717620, 57676, 420706, 43944, 3761, 622012, 120210, 938
18827047, 19309775, 9413801, 9655167, 4707158, 4717617, 57719, 420716, 43921, 3762, 621963, 120190, 933
18827079, 19309784, 9413794, 9655154, 4707153, 4717598, 57738, 420849, 44008, 3761, 621955, 120265, 934
18827057, 19309772, 9413808, 9655166, 4707177, 4717620, 57725, 420706, 43920, 3788, 621959, 120187, 932
18827053, 19309781, 9413804, 9655176, 4707165, 4717617, 57684, 420843, 44015, 3764, 622023, 120373, 936
18827070, 19309776, 9413803, 9655145, 4707179, 4717596, 57681, 420760, 43911, 3798, 621962, 120370, 936
18827066, 19309773, 9413789, 9655163, 4707165, 4717614, 57736, 420718, 43965, 3762, 621969, 120404, 932
18827049, 19309784, 9413786, 9655151, 4707185, 4717599, 57743, 420802, 43996, 3760, 621967, 120367, 936
18827069, 19309775, 9413795, 9655139, 4707188, 4717611, 57702, 420763, 43916, 3771, 621961, 120176, 933
18827046, 19309788, 9413789, 9655139, 4707170, 4717599, 57668, 420717, 43948, 3781, 621968, 120187, 933
